"Latest: Wavelength (nm)","Run 1: Absorbance","Run 2: Absorbance","Run 3: Absorbance","Run 4: Absorbance","Run 5: Absorbance","Run 6: Absorbance","Run 7: Absorbance","Run 8: Absorbance","Run 9: Absorbance","Run 10: Absorbance","Run 11: Absorbance","Run 12: Absorbance","Run 13: Absorbance","Run 14: Absorbance","Run 15: Absorbance","Latest: Absorbance"
"380.6","-0.0419172014959","-0.0165781680553","0.0024898110366","-0.0141587178159","-0.0436634763013","0.00922594270148","-0.035895455853","-0.00701759789981","-0.0493698875778","-0.0165781680553","0.00181959955876","-0.0210704100488","-0.011658556756","-0.0211886933421","-0.0183762359797","0.000883037696046"
"381.3","-0.0426564503104","-0.0106599522342","0.00365661917879","-0.0169850457772","-0.0446276485251","0.0108166936818","-0.0330675646891","-0.0124230113555","-0.0475981452403","-0.0170791882122","-0.00756689270627","-0.0175712932842","-0.0128224444933","-0.0263649146673","-0.0179775832102","-0.00115317783592"
"382.1","-0.0455753540694","-0.00835021461899","0.00341087667382","-0.0139632360887","-0.0436034683663","0.013732917545","-0.0366742126256","-0.00904166777931","-0.0525817270691","-0.0201618048151","-0.0165744603923","-0.0203852948394","-0.0148693344077","-0.031308085032","-0.0233371180333","-0.0084105095278"
"382.8","-0.0437309425515","-0.00134861481426","0.0130449055183","-0.0128034483845","-0.0348886596665","0.0176798692387","-0.0347426176055","-0.00410659072103","-0.0475379720808","-0.0109572695847","-0.0155520047628","-0.0126742670115","-0.0178588209342","-0.022837423979","-0.0208667062301","-0.00689953780248"
"383.6","-0.0421633700524","-0.00683030314254","0.00509606311631","-0.014516753782","-0.0350567220345","0.0133350990285","-0.0424977945704","-0.00278775395316","-0.0471649681008","-0.0123316690531","-0.015177287193","-0.0182289301548","-0.0195364891975","-0.0189778766886","-0.0242520901609","-0.00926318183884"
"384.3","-0.0352606041631","-0.00960507919424","0.00216751834743","-0.0189174478678","-0.0348928455306","0.0120531696056","-0.0399959162706","-0.00958265205313","-0.0407689296752","-0.0148066689469","-0.0137503441267","-0.0155692727011","-0.017573934175","-0.0172875952693","-0.0232203683743","-0.00673247538894"
"385.1","-0.0378054851103","-0.0197494037103","-0.00808946299574","-0.0289502482858","-0.0426528274002","0.00707982820274","-0.0402587778452","-0.0162306743889","-0.0434427547256","-0.0233812999707","-0.0259967134002","-0.0197260240746","-0.0209575851889","-0.0254178956526","-0.028980002856","-0.00917359520411"
"385.8","-0.0368871308986","-0.0197551644715","-0.00696024611787","-0.0292254765067","-0.0424263733039","0.00278463022024","-0.0317012203462","-0.0119586475251","-0.0400776798665","-0.021883615277","-0.0281889358873","-0.0209726990906","-0.0234137684014","-0.028570994872","-0.0293596619311","-0.00718890230548"
"386.6","-0.0338891277442","-0.0173034632185","-0.00746811249982","-0.025299925504","-0.0387795341705","0.00361947815587","-0.027788594471","-0.0097266824447","-0.0399375699063","-0.0129222450994","-0.0214051776781","-0.0159151436685","-0.0236203158145","-0.0255621482944","-0.0267431439701","-0.00446174849255"
"387.3","-0.0280131081069","-0.0048102512805","0.00258718005091","-0.0177867201814","-0.0264993299942","0.00432760165812","-0.0209462661338","-0.0050353918898","-0.0313174336235","-0.00315066216089","-0.0131814573753","-0.0096224777205","-0.0141042388776","-0.0152195338951","-0.0193968123482","0.00143013240479"
"388.1","-0.0252105584025","-0.00091647999288","0.00558957570904","-0.0147862522181","-0.0183526551969","0.00860577705632","-0.0207769542952","-0.00407528841746","-0.0286259518486","-0.00297880980289","-0.00712694049011","-0.00340021202594","-0.0104980448686","-0.00829298043019","-0.0179634432354","0.00268899350745"
"388.8","-0.0259420553409","0.00288233189057","0.00697621616584","-0.0116059463783","-0.0132876638468","0.00746542978358","-0.0157842100672","-0.000916318472961","-0.024067924201","-0.00254495646148","-0.00602844855519","-0.00511357857886","-0.0080651974356","-0.00659450756726","-0.0124947399423","0.00369007976371"
"389.6","-0.0210917472478","0.000465747132377","0.00364646921452","-0.00737237180041","-0.0127822927984","0.00701005334259","-0.0133356586649","0.00181447204832","-0.0198200108017","-0.00664694704676","-0.00409537417789","-0.00294469812241","-0.00758413948102","-0.00834168653082","-0.01152660416","0.00245045905348"
"390.3","-0.0179689317769","0.00192788533363","0.00348457815863","-0.00339915191608","-0.0119068167835","0.00624732038071","-0.00749211168578","0.000686297920654","-0.0143025933219","-0.00337850435078","-0.00125127289055","-0.00119020595637","-0.00657307437478","-0.00593193210327","-0.008154880333","0.0015685215439"
"391.1","-0.0152777842684","0.000805795190284","0.00437246887246","-0.00386256524948","-0.0100257092133","0.00510132169793","-0.00479231990051","-0.000726420738133","-0.010329432026","-0.00160388013933","-0.000978126464473","-0.00187543899894","-0.00593633448826","-0.00621863745897","-0.00735426627616","0.000437192167835"
"391.8","-0.0144914504421","-0.00106527969906","0.00155241074214","-0.00412792485046","-0.0108671987231","0.00313700973944","-0.00502279362529","-0.00304808889158","-0.00832385397889","0.00045695586975","-0.00113987873082","-0.00291047070607","-0.00415519313752","-0.00552820790508","-0.00711992733918","-0.00151451072115"
"392.6","-0.013732765884","-0.00344063562001","0.00398089557126","-0.00578056464781","-0.0117434467509","0.00311983675301","-0.00254191090318","-0.00191240212214","-0.00615293045954","-0.000290476558962","-0.00249367038728","-0.0030647608769","-0.00206672403863","-0.0050114772525","-0.00479304820962","-0.000259726629487"
"393.3","-0.0144588231213","-0.00460481046911","0.00258843901051","-0.00574937286114","-0.012729016182","0.00485863975988","-0.00305593902735","-0.003141648953","-0.00532222248913","-0.00332171860966","-0.00401819951137","-0.00214892243811","-0.00270388222404","-0.00640310100646","-0.00674188089246","-0.00083229286568"
"394","-0.0125446127159","-0.00360258668384","0.00222282533949","-0.00551234818385","-0.0112194018453","0.00498360997279","-0.00183307894276","-0.00207155967904","-0.00335584651707","-0.0058870756307","-0.00239113527428","0.000681203170144","-0.00350453278076","-0.0053499129977","-0.00532160796958","-0.00112370946143"
"394.8","-0.0105675411065","-0.00253642565632","-0.000117749754185","-0.0042784516709","-0.00913313463348","0.0046151017411","-0.00222724013119","-0.00190082762317","-0.00455309955","-0.00581371778679","-0.00153648118058","0.000863578543118","-0.00362071683215","-0.00602579192802","-0.00728982765429","-0.00236220217192"
"395.5","-0.00905228404143","-0.00216723097681","5.91905624303E-05","-0.00335726261812","-0.00852125103191","0.00307604159223","-0.00197032971757","-4.9478281019E-05","-0.00287072255261","-0.00507934285485","0.000435801574659","0.00126757705923","-0.00291254152036","-0.00405759800188","-0.00439851521002","-0.00187865968671"
"396.3","-0.0086137508771","-0.0016137751556","0.000585963714943","-0.00346633555396","-0.00692537218198","0.00276380075864","-0.00311566384903","-0.000171376991798","-0.00262400253637","-0.00283513215453","0.000433650455508","-0.00142098400218","-0.00295655509871","-0.002233806862","-0.00392079237602","-0.000874043143429"
