"Latest: Wavelength (nm)","Run 3: Absorbance","Run 5: Absorbance","Run 7: Absorbance","Run 9: Absorbance","Run 11: Absorbance","Run 13: Absorbance","Run 15: Absorbance",,"Run 1: Absorbance"
"380.6","0.0024898110366","-0.0436634763013","-0.035895455853","-0.0493698875778","0.00181959955876","-0.011658556756","-0.0183762359797",,"-0.0419172014959"
"381.3","0.00365661917879","-0.0446276485251","-0.0330675646891","-0.0475981452403","-0.00756689270627","-0.0128224444933","-0.0179775832102",,"-0.0426564503104"
"382.1","0.00341087667382","-0.0436034683663","-0.0366742126256","-0.0525817270691","-0.0165744603923","-0.0148693344077","-0.0233371180333",,"-0.0455753540694"
"382.8","0.0130449055183","-0.0348886596665","-0.0347426176055","-0.0475379720808","-0.0155520047628","-0.0178588209342","-0.0208667062301",,"-0.0437309425515"
"383.6","0.00509606311631","-0.0350567220345","-0.0424977945704","-0.0471649681008","-0.015177287193","-0.0195364891975","-0.0242520901609",,"-0.0421633700524"
"384.3","0.00216751834743","-0.0348928455306","-0.0399959162706","-0.0407689296752","-0.0137503441267","-0.017573934175","-0.0232203683743",,"-0.0352606041631"
"385.1","-0.00808946299574","-0.0426528274002","-0.0402587778452","-0.0434427547256","-0.0259967134002","-0.0209575851889","-0.028980002856",,"-0.0378054851103"
"385.8","-0.00696024611787","-0.0424263733039","-0.0317012203462","-0.0400776798665","-0.0281889358873","-0.0234137684014","-0.0293596619311",,"-0.0368871308986"
"386.6","-0.00746811249982","-0.0387795341705","-0.027788594471","-0.0399375699063","-0.0214051776781","-0.0236203158145","-0.0267431439701",,"-0.0338891277442"
"387.3","0.00258718005091","-0.0264993299942","-0.0209462661338","-0.0313174336235","-0.0131814573753","-0.0141042388776","-0.0193968123482",,"-0.0280131081069"
"388.1","0.00558957570904","-0.0183526551969","-0.0207769542952","-0.0286259518486","-0.00712694049011","-0.0104980448686","-0.0179634432354",,"-0.0252105584025"
"388.8","0.00697621616584","-0.0132876638468","-0.0157842100672","-0.024067924201","-0.00602844855519","-0.0080651974356","-0.0124947399423",,"-0.0259420553409"
"389.6","0.00364646921452","-0.0127822927984","-0.0133356586649","-0.0198200108017","-0.00409537417789","-0.00758413948102","-0.01152660416",,"-0.0210917472478"
"390.3","0.00348457815863","-0.0119068167835","-0.00749211168578","-0.0143025933219","-0.00125127289055","-0.00657307437478","-0.008154880333",,"-0.0179689317769"
"391.1","0.00437246887246","-0.0100257092133","-0.00479231990051","-0.010329432026","-0.000978126464473","-0.00593633448826","-0.00735426627616",,"-0.0152777842684"
"391.8","0.00155241074214","-0.0108671987231","-0.00502279362529","-0.00832385397889","-0.00113987873082","-0.00415519313752","-0.00711992733918",,"-0.0144914504421"
"392.6","0.00398089557126","-0.0117434467509","-0.00254191090318","-0.00615293045954","-0.00249367038728","-0.00206672403863","-0.00479304820962",,"-0.013732765884"
"393.3","0.00258843901051","-0.012729016182","-0.00305593902735","-0.00532222248913","-0.00401819951137","-0.00270388222404","-0.00674188089246",,"-0.0144588231213"
"394","0.00222282533949","-0.0112194018453","-0.00183307894276","-0.00335584651707","-0.00239113527428","-0.00350453278076","-0.00532160796958",,"-0.0125446127159"
"394.8","-0.000117749754185","-0.00913313463348","-0.00222724013119","-0.00455309955","-0.00153648118058","-0.00362071683215","-0.00728982765429",,"-0.0105675411065"
"395.5","5.91905624303E-05","-0.00852125103191","-0.00197032971757","-0.00287072255261","0.000435801574659","-0.00291254152036","-0.00439851521002",,"-0.00905228404143"
"396.3","0.000585963714943","-0.00692537218198","-0.00311566384903","-0.00262400253637","0.000433650455508","-0.00295655509871","-0.00392079237602",,"-0.0086137508771"
"397","0.0019599553653","-0.00657573469503","-0.00268149642109","-0.00152547706126","0.00183582021899","-0.00197951522854","-0.00139841656791",,"-0.00800662038471"
"397.8","0.00144067130574","-0.00604017128328","-0.00306115462589","-0.00260086752111","0.000796404987067","-0.00196778469948","-0.00180169936007",,"-0.00778505425658"
"398.5","0.00125803245924","-0.00598729177473","-0.00263194030341","-0.00179563709049","0.00106902895218","-0.00117610912217","-0.00176321656929",,"-0.00682867459782"
"399.3","-0.000165146507959","-0.00559002505028","-0.00355365971695","-0.00224870081852","3.80397904431E-05","-0.0015137519733","-0.00250671532169",,"-0.00756684268236"
